Product name,Description,Category,MRP,Selling price,Discount,Brand name,Image url,Laptop specification
"Dell 14 Laptop, 12th Gen Intel Core i3-1215U Processor/8GB/512GB SSD/Intel UHD Graphics/14.0""(35.56cm) FHD/Windows 11 + MSO'21/15 Month McAfee/Spill-Resistant Keyboard/Grey/Thin & Light 1.48kg","About this item    Processor: Intel Core i3-1215U 12th Generation (up to 4.40 GHz, 10MB, 6 Cores)    RAM: 8 GB, 1 x 8 GB, DDR4, 2666 MHz, (2 DIMM Slots, Expandable up to 16GB) // Storage: 512GB SSD    Software: Pre-Loaded Windows 11 Home with Lifetime Validity | MS Office Home and Student 2021 with lifetime validity| McAfee Multi-Device Security 15-month subscription    Display: 14.0"" FHD WVA AG Narrow Border 250 nits // Graphics & Keyboard: Integrated Onboard Graphics & Standard Keyboard    Ports: 1 USB 3.2 Gen 1 Type-C port with DisplayPort 1.4, 1 USB 3.2 Gen 1 port, 1 USB 2.0 port, 1 Headset jack, 1 HDMI 1.4 port*,1 Flip-Down RJ-45 port 10/100/1000 Mbps, 1 SD 3.0 card slot    Features- TÜV Rheinland certified Dell ComfortView to reduce Harmful blue light: 15 Months McAfee antivirus subscription: Waves Maxx Audio tuned speakers and microphones optimize audio: Hardware-based TPM 2.0 security chip    Battery- 3-Cell Battery, 41WHr // Power Adaptor- 65 Watt AC Adapter    Dimensions H x W x D( in cm)- 1.86 to 2.30 X 32.3 X 22.0 // Weight- 1.48kgs    
›  See more product details",Computers & Accessories,"57,778","34,990.",39%,Dell,https://m.media-amazon.com/images/I/41KmRBop38L._SX300_SY300_QL70_ML2_.jpg,"Brand   Dell     Model Name   Vostro 3420     Screen Size   14 Inches     Colour   Dark Silver     Hard Disk Size   512 GB     CPU Model   Core i3 Family     RAM Memory Installed Size   8 GB     Operating System   Windows 11 Home     Special Feature   Fingerprint Reader, Backlit Keyboard     Graphics Card Description   Integrated"
"Dell 15 Laptop, Intel Core i3-1115G4 Processor/8GB DDR4/512GB SSD/Intel UHD Graphics/15.6"" (39.6cm) FHD 120Hz Refresh, 250 nits/Mobile Connect/Win 11+MSO'21/15 Month McAfee/Black/Thin & Light-1.66kg","About this item    Processor: Intel Core i3-1115G4 Processor (up to 4.10 GHz, 6MB Cache, 2 Cores)    RAM: 8 GB, 1 x 8 GB, DDR4, 3200 MHz // Storage: 512GB SSD    Software: Pre-Loaded Windows 11 Home with Lifetime Validity | MS Office Home and Student 2021 with lifetime validity| McAfee Multi Device Security 15-month subscription    Display: 15.6"" FHD WVA AG 120Hz 250 nits Narrow Border // Graphics: Intel UHD Graphics // Keyboard: Standard Keyboard    Ports: 2 USB 3.2 Gen 1 port, 1 USB 2.0 port, 1 headset (headphone and microphone combo) port, 1 HDMI 1.4 port, HDMI 1.4 (Maximum resolution supported over HDMI is 1920x1080 @60Hz. No 4K/2K output), 1 RJ45 Ethernet port (flip-down)    Battery: 3-Cell Battery, 41WHr // Power Adaptor: 65 Watt AC Adapter    Dimensions H x W x D( in cm): 1.69 to 2.24 X 35.8 X 23.5 // Weight- 1.66kgs    
›  See more product details",Computers & Accessories,"44,683","36,990.",17%,Dell,https://m.media-amazon.com/images/I/31aAbG0YK6L._SX300_SY300_QL70_ML2_.jpg,Brand   Dell     Model Name   Vostro 3520     Screen Size   15.6 Inches     Colour   Black     Hard Disk Size   512 GB     CPU Model   Core i3     RAM Memory Installed Size   8 GB     Operating System   Windows 11 Home     Special Feature   Anti Glare Screen     Graphics Card Description   Integrated
"(Refurbished) Lenovo ThinkPad 5th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 10 Pro/Laptop Cooling Pad/MS Office/WiFi/Webcam/Intel Graphics), Black","About this item    This Renewed product is tested to work and look like new with minimal to no signs of wear & tear; the product comes with relevant accessories and is backed by a minimum six month seller warranty; box may be generic    Lenovo ThinkPad gives fast performance at an affordable price. Laptop Ideal for professionals/students needing best-in-class, slim and lights. It's powered with Intel Core i5 5200U 2.2 GHz upto 2.7 GHz with Intel Turbo Boost Technology, 8 GB RAM along with 256 GB SSD Storage which enhances the overall performance of the machine and 3 MB cache.    Get a NewJaisa Laptop Cooling Pad along with your laptop. Features like Intel HD Graphics 5500 make it an ideal product to carry out all your tasks in one place.    It offers Brighter, crisper display with 14-inch HD along with Webcam and Microphone which enhances your video conferencing experience.Pre-installed with Windows 10 Pro and MS office (Trial version)    It encompasses a wide range of slots and ports, it comes along with USB, Security lock slot,VGA port,LAN Port (RJ-45), Power connector,Headphone/Microphone combo jack reader.It also comes with Bluetooth making your wireless connectivity easier and faster.    
›  See more product details",Computers & Accessories,"18,995.00","15,499.",,Lenovo,https://m.media-amazon.com/images/I/41PBqSJp2BL._SX300_SY300_QL70_ML2_.jpg,"Brand   Lenovo     Model Name   Lenovo ThinkPad     Screen Size   14 Inches     CPU Model   Intel Core i5     RAM Memory Installed Size   8 GB     Operating System   Windows     Special Feature   Webcam, Light Weight, Thin     Graphics Card Description   Integrated     CPU Speed   2.2 GHz     Hard Disk Description   SSD"
"Dell 15 Laptop, Intel Core i3-1115G4 Processor/8GB DDR4/512GB SSD/Intel UHD Graphics/15.6"" (39.6cm) FHD 120Hz Refresh, 250 nits/Mobile Connect/Win 11+MSO'21/15 Month McAfee/Black/Thin & Light-1.66kg","About this item    Processor: Intel Core i3-1115G4 Processor (up to 4.10 GHz, 6MB Cache, 2 Cores)    RAM: 8 GB, 1 x 8 GB, DDR4, 3200 MHz // Storage: 512GB SSD    Software: Pre-Loaded Windows 11 Home with Lifetime Validity | MS Office Home and Student 2021 with lifetime validity| McAfee Multi Device Security 15-month subscription    Display: 15.6"" FHD WVA AG 120Hz 250 nits Narrow Border // Graphics: Intel UHD Graphics // Keyboard: Standard Keyboard    Ports: 2 USB 3.2 Gen 1 port, 1 USB 2.0 port, 1 headset (headphone and microphone combo) port, 1 HDMI 1.4 port, HDMI 1.4 (Maximum resolution supported over HDMI is 1920x1080 @60Hz. No 4K/2K output), 1 RJ45 Ethernet port (flip-down)    Battery: 3-Cell Battery, 41WHr // Power Adaptor: 65 Watt AC Adapter    Dimensions H x W x D( in cm): 1.69 to 2.24 X 35.8 X 23.5 // Weight- 1.66kgs    
›  See more product details",Computers & Accessories,"44,683","36,990.",17%,Dell,https://m.media-amazon.com/images/I/31aAbG0YK6L._SX300_SY300_QL70_ML2_.jpg,Brand   Dell     Model Name   Vostro 3520     Screen Size   15.6 Inches     Colour   Black     Hard Disk Size   512 GB     CPU Model   Core i3     RAM Memory Installed Size   8 GB     Operating System   Windows 11 Home     Special Feature   Anti Glare Screen     Graphics Card Description   Integrated
"ASUS Vivobook 14, Intel Core i3-1115G4 11th Gen, 14"" (35.56 cms) FHD, Thin and Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/Transparent Silver/1.60 kg), X1400EA-EK322WS","About this item    Processor: Intel Core i3-1115G4 Processor Laptop 3.0 GHz (6M Cache, up to 4.1 GHz, 2 cores)    Memory: 8GB DDR4 RAM Laptop (on board) with | Storage: 512GB M.2 NVMe PCIe 3.0 SSD Laptop    Display: 14.0-inch, FHD Laptop (1920 x 1080) 16:9 aspect ratio, 60Hz refresh rate, 45% NTSC color gamut, Anti-glare display    Graphics: Integrated Intel UHD Graphics    Keyboard: Chiclet Keyboard    Operating System: Laptop with Windows 11 Home (lifetime validity) | Software Included: Pre-Installed Office Home and Student 2021 | 1-Year McAfee Anti-Virus    Design: 1.99 cm Thin | Thin and Light Laptop | 1.60 kg weight | 37WHrs, 2S1P, 2-cell Li-ion | Up to 6 hours battery life ;Note: Battery life depends on conditions of usage    
   I/O Port: 1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 2.0 Type-A, 1x HDMI 1.4, 1x 3.5mm Combo Audio Jack, 1x DC-in Other: VGA camera | Wi-Fi 5(802.11ac) (Dual band) 1*1 + Bluetooth 5.1 Wireless Card | SonicMaster, Built-in speaker, Built-in array microphone   Show More",Computers & Accessories,"50,990","29,990.",41%,ASUS,https://m.media-amazon.com/images/I/4165MmmUDbL._SX300_SY300_QL70_ML2_.jpg,Brand   ASUS     Model Name   Vivobook 14     Screen Size   14 Inches     Colour   Silver     Hard Disk Size   512 GB     CPU Model   Core i3     RAM Memory Installed Size   8 GB     Operating System   Windows 11 Home     Special Feature   Anti Glare Coating     Graphics Card Description   Integrated
"Dell G15 5520 Gaming Laptop, Intel i5-12500H/16GB DDR5/1TB SSD/15.6"" (39.62cm) FHD WVA AG 120Hz 250 nits/NVIDIA RTX 3050, 4 GB GDDR6/Win 11 + MSO'21/15 Months McAfee/Backlit KB/Dark Shadow Grey/2.81kg","About this item    Processor : 12th Gen Intel Core i5-12500H | Up to 4.50 Ghz | 12 cores | 16 Threads | 18 MB Cache | 45 W TDP // Memory : 16 GB, 2 x 8 GB, DDR5, 4800 MHz // Storage :  1TB SSD    Display: 15.6"" FHD 1920 x 1080 WVA, Non-Touch, Anti-Glare| 120 Hz ( 9ms ) | 250 nits | 45% NTSC    Graphics: NVIDIA GeForce RTX 3050 4 GB GDDR6 with max 90 W TGP    Cooling: Alienware-inspired thermal design features optimal cooling thanks to dual air-intake, copper pipes , two fans with ultra-thin blades and four strategically-placed vents. As a result, you can expect your system to stay cool when the action heats up enabling  100/100 CPU GPU concurrency and TDP up to 125 W (45W + 80 W)    Keyboard and Battery: US English Orange Qwerty Backlit Keyboard with Numeric Keypad and G-Key |3 Cell, 56 Wh, integrated    Software: Pre-Loaded Windows 11 Home with Lifetime Validity | MS Office Home and Student 2021 with lifetime validity| McAfee Multi Device Security 15-month subscription    Warranty: 1 Year Onsite Hardware Service    
   Ports: SuperSpeed USB 3.2 Gen 1, SuperSpeed USB 3.2 Gen 1, USB Type-C port with DisplayPort with alt mode, SuperSpeed USB 3.2 Gen 1, HDMI 2.1, Power in, RJ45, Headphones/mic Audio & Camera |Connectivity: Dolby Audio + HD RGB camera | Intel Wi-Fi 6 AX201, 2x2, 802.11ax, Bluetooth wireless card Power Adaptor: 180W AC Adapter   Show More",Computers & Accessories,"1,05,383","77,490.",26%,Dell,https://m.media-amazon.com/images/I/31uYfs9jPML._SX300_SY300_QL70_ML2_.jpg,Brand   Dell     Model Name   Dell Gaming G15     Screen Size   15.6 Inches     Colour   grey     Hard Disk Size   1 TB     CPU Model   Core i5     RAM Memory Installed Size   16 GB     Operating System   Windows 11 Home     Special Feature   Backlit Keyboard     Graphics Card Description   Dedicated
"Lenovo Ideapad Slim 1 AMD Ryzen 5 5500U 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/1Yr Warranty + ADP/Cloud Grey/1.6Kg), 82R400BRIN","About this item    Lenovo Ideapad 3 AMD Ryzen 5 5500U 15.6"" FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/Backlit Keyboard/2Yr Warranty/Arctic Grey/1.65Kg), 82KU017KIN    
›  See more product details",Computers & Accessories,"68,990","35,990.",48%,Lenovo,https://m.media-amazon.com/images/I/410byuk3a-L._SY300_SX300_QL70_ML2_.jpg,"Brand   Lenovo     Model Name   IdeaPad     Screen Size   15.6 Inches     Colour   Arctic Grey     Hard Disk Size   512 GB     CPU Model   Ryzen 5     RAM Memory Installed Size   8 GB     Operating System   Windows 11 Home     Special Feature   HD Audio, Backlit Keyboard     Graphics Card Description   Integrated"
"Lenovo IdeaPad Gaming 3 Intel Core i5-11320H 15.6"" (39.62cm) FHD IPS 60Hz Gaming Laptop (8GB/512GB SSD/Windows 11/NVIDIA RTX 2050 4GB/Alexa/3 Month Game Pass/Shadow Black/2.25Kg), 82K101PCIN","About this item    Processor: Intel Core i5-11320H | Speed: 3.2 GHz (Base) - 4.5 GHz (Max) | 4 Cores | 8 Threads | 8MB Cache    Display: 15.6 Inch FHD (1920x1080) | IPS Technology | Brightness: 250Nits |60Hz Refresh Rate| Anti-glare | 45pct NTSC || Memory: 8GB RAM DDR4-3200 | Storage: 512GB SSD    Graphics: NVIDIA GeForce RTX 2050 4GB GDDR6 Dedicated Graphics || Cooling: 100pct.imporved ventilation rate | 21pct. larger thermal Area | 35pct. higher TDP    Mil. Grade : MIL-STD-810G Qualified Design| Qualified for various Mil. Specification Tests like Low & High Temp (-25 to 63°C for 4 hrs)| Temp Shock (-25 to 63°C one way temp Shock)| Shock (122cm+ Drop Test)| Vibration (4-32Hz over 2 hrs)    OS and Pre-Installed Software: Pre-Loaded Windows 11 Home with Lifetime Validity | Xbox GamePass Ultimate 3-month subscription    Audio: 2x 2W HD Stereo Speakers | Nahimic Audio with Surround Sound, Sound Tracker, Night Mode, Sound Sharing & Content Profiles || Camera: HD 720p with E-camera Shutter :Physical kill switch for 100pct. privacy protection | Integrated Dual Array Mic    Keyboard: Full-size White Backlit legendary TrueStrike Keyboard with 100pct. Anti-Ghosting, Anti-Abrasion & Soft-Landing switches | 1.5 mm Key Travel | Large Arrow Keys | 1 piece TrackPad    Battery Life: 45Wh upto 4.5 Hours | Rapid Charge (up to 50pct. in 30 min) || Connectivity : Wifi 6 11ax (2x2) | Bluetooth 5.1 || Ports: 2x USB-A 3.2 Gen 1 | 1x USB-C 3.2 Gen 1 (Data transfer) | 1x 3.5mm Jack | 1X HDMI 2.0 | 1X Ethernet (RJ-45)    
›  See more product details",Computers & Accessories,"71,290","50,190.",30%,Lenovo,https://m.media-amazon.com/images/I/41Dv6D00jML._SY300_SX300_QL70_ML2_.jpg,"Brand   Lenovo     Model Name   IdeaPad Gaming 3 15IHU6     Screen Size   15.6 Inches     Colour   Shadow Black     Hard Disk Size   512 GB     CPU Model   Core i5-11320H     RAM Memory Installed Size   8 GB     Operating System   Windows 11 Home     Special Feature   Backlit Keyboard, Anti Glare Coating     Graphics Card Description   Dedicated"
"Lenovo IdeaPad Gaming 3 AMD Ryzen 5 5500H 15.6"" (39.62cm) FHD IPS 300nits 144Hz Gaming Laptop (8GB/512GB SSD/Windows 11/NVIDIA RTX 2050 4GB/Alexa/3 Month Game Pass/Onyx Grey/2.32Kg), 82K20289IN","About this item    Processor: AMD Ryzen 5 5500H | Speed: 3.6 GHz (Base) - 4.2 GHz (Max) | 6 Cores | 12 Threads | 16MB Cache    Display: 15.6"" FHD (1920x1080) | IPS Technology | Brightness: 300Nits |144Hz Refresh Rate| Anti-glare | 45% NTSC || Memory: 8GB RAM DDR4-3200 | Storage: 512GB SSD    Graphics: NVIDIA GeForce RTX 2050 4GB GDDR6 Dedicated Graphics || Cooling: 100%imporved ventilation rate | 21% larger thermal Area | 35% higher TDP    Military Grade : MIL-STD-810G Qualified Design| Qualified for various Military Specification Tests like Low & High Temp (-25 to 63°C for 4 hrs)| Temp Shock (-25 to 63°C one way temp Shock)| Shock (122cm+ Drop Test)| Vibration (4-32Hz over 2 hrs)    OS and Pre-Installed Software: Pre-Loaded Windows 11 Home with Lifetime Validity | Xbox GamePass Ultimate 3-month subscription    Audio: 2x 2W HD Stereo Speakers | Nahimic Audio with Surround Sound, Sound Tracker, Night Mode, Sound Sharing & Content Profiles || Camera: HD 720p with E-camera Shutter :Physical kill switch for 100% privacy protection | Integrated Dual Array Mic    Keyboard: White Backlit legendary TrueStrike Keyboard with 100% Anti-Ghosting, Anti-Abrasion & Soft-Landing switches | 1.5 mm Key Travel | Large Arrow Keys | 1 piece TrackPad    
   Battery Life: 45Wh upto 4.5 Hours | Rapid Charge (up to 50% in 30 min) || Connectivity : Wifi 6 11ax (2x2) | Bluetooth 5.1 || Ports: 2x USB-A 3.2 Gen 1 | 1x USB-C 3.2 Gen 1 (Data transfer) | 1x 3.5mm Jack | 1X HDMI 2.0 | 1X Ethernet (RJ-45) Warranty: This genuine Lenovo laptop comes with 1 Year onsite manufacturer warranty *Active subscription needed;continues until cancelled-game catalog varies. Needs Windows11 & app to play PC games. Discounts exclude titles within 30 days of launch; based on Microsoft Store price.   Show More",Computers & Accessories,"77,990","47,990.",38%,Lenovo,https://m.media-amazon.com/images/I/51GDkO2QzRL._SX300_SY300_QL70_ML2_.jpg,"Brand   Lenovo     Model Name   IdeaPad Gaming 3 15ACH6     Screen Size   15.6 Inches     Colour   Shadow Black     Hard Disk Size   512 GB     CPU Model   Ryzen 5     RAM Memory Installed Size   8 GB     Operating System   Windows 11 Home     Special Feature   Backlit Keyboard, Anti Glare Coating     Graphics Card Description   Dedicated"
"Lenovo IdeaPad Slim 3 Intel Core i7 12th Gen 15.6 inch (39.62cm) FHD Thin & Light Laptop (16GB/512GB SSD/Windows 11/Office 2021/3months Game Pass/Arctic Grey/1.63Kg), 82RK011EIN","About this item    Processor: 12th Gen Intel Core i7-1255U | Speed: 10Cores (2P + 8E) , P-core 1.7 / 4.7GHz, E-core 1.2 | 12Threads | 12MB Cache    Display: 15.6"" FHD (1920x1080) | TN | 300nits Brigthness | Anti-glare    OS and Software: Windows 11 Home 64 | Office Home and Student 2021 | Xbox GamePass Ultimate 3-month subscription*    Graphics: Integrated Intel Iris Xe Graphics || Memory: 8GB Soldered DDR4-3200 + 8GB SO-DIMM DDR4-3200 || Storage: 512 GB SSD, Upgradable upto 1TB    Design: 1.99 cm Thin and 1.63 kg Light |Backlit Keyboard | 4 Side Narrow Bezel    Battery Life: 45Wh Battery | Upto 7 Hours | Rapid Charge (get 2 hours of runtime with a 15-minute charge)    Camera: HD 720p Camera | Fixed Focus | Privacy Shutter | Integrated Dual Array Microphone || Audio: 2x 1.5W HD Stereo Speakers | Dolby Audio    
   Ports: 1x USB-A 2.0 | 1x USB-A 3.2 Gen 1 | 1x USB-C 3.2 Gen 1 (Data transfer only) | 1x HDMI 1.4b | 1x 4-in-1 card reader (SD, SDHC, SDXC, MMC) | 1x Headphone/mic combo jack (3.5mm) Warranty: This genuine Lenovo laptop comes with 1 year onsite manufacturer warranty *Active subscription needed;continues until cancelled-game catalog varies. Needs Windows11 & app to play PC games; xbox website>pcgamesplan. Discounts exclude titles within 30 days of launch; based on Microsoft Store price. See xbox website>GamesPass   Show More",Computers & Accessories,"82,990","62,990.",24%,Lenovo,https://m.media-amazon.com/images/I/41tIqWrQzFL._SY300_SX300_QL70_ML2_.jpg,"Brand   Lenovo     Model Name   IdeaPad 3 15IAU7     Screen Size   15.6 Inches     Colour   Arctic Grey     Hard Disk Size   512 GB     CPU Model   Core i7     RAM Memory Installed Size   16 GB     Operating System   Windows 11 Home 64, English     Special Feature   Built-in Microphone     Graphics Card Description   Integrated"
